action,source,target,reason
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-013_US_physical_activity_guidelines_2nd_edition.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/00_core_guidelines/US_HHS_2018_physical_activity_guidelines_2nd_edition.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC2-030_WHO_step_safely_fall_prevention.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/00_core_guidelines/WHO_2021_step_safely_fall_prevention.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC2-031_WHO_promoting_physical_activity_through_schools_toolkit_zh.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/00_core_guidelines/WHO_2024_promoting_physical_activity_through_schools_toolkit_zh.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-033_WHO_UNESCO_health_promoting_school_global_standards.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/00_core_guidelines/WHO_UNESCO_2021_health_promoting_school_global_standards.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-033_WHO_promoting_physical_activity_through_schools.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/00_core_guidelines/WHO_2022_promoting_physical_activity_through_schools.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC2-026_AHA_ASA_adult_stroke_rehab_recovery_slide_set.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/00_core_guidelines/AHA_ASA_2016_adult_stroke_rehab_recovery_slide_set.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-004_EIM_exercise_preparticipation_screening.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/01_screening_risk/EIM_ACSM_2021_preparticipation_screening_questionnaire.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-011_PARQPlus_2025_fillable.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/01_screening_risk/PARQPlus_2025_fillable.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-011_QAAPPlus_2024.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/01_screening_risk/QAAPPlus_2024.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-011_ePARmedX_physician_clearance_form_2026.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/01_screening_risk/ePARmedX_2026_physician_clearance_form.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-027_WST_887_2026_older_adult_fall_prevention_standard.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/01_screening_risk/NHC_WST_887_2026_older_adult_fall_prevention_standard.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC2-014_NHC_adult_hypertension_nutrition_exercise_2024.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/NHC_2024_adult_hypertension_nutrition_and_exercise_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC2-015_NHC_adult_hyperglycemia_nutrition_exercise_2024.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/NHC_2024_adult_hyperglycemia_nutrition_and_exercise_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC2-016_NHC_adult_hyperlipidemia_nutrition_exercise_2024.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/NHC_2024_adult_hyperlipidemia_nutrition_and_exercise_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC2-017_NHC_adult_hyperuricemia_gout_nutrition_exercise_2024.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/NHC_2024_adult_hyperuricemia_gout_nutrition_and_exercise_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC2-025_china_stroke_prevention_control_standard_2021.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/NHC_2021_china_stroke_prevention_control_standard.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-019_china_hypertension_guideline_2024_revision.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/China_2024_hypertension_prevention_treatment_guideline_revision.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-020_china_type2_diabetes_exercise_treatment_guideline_2024.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/China_2024_type2_diabetes_exercise_treatment_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-021_china_blood_lipid_management_guideline_2023.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/China_2023_blood_lipid_management_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-022_weight_management_guiding_principles_2024.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/NHC_2024_weight_management_guiding_principles.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-026_COPD_clinical_rehab_evidence_based_guideline.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/China_2021_COPD_clinical_rehab_evidence_based_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-028_older_adult_disability_prevention_exercise_guideline_2023.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/China_2023_older_adult_disability_prevention_exercise_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-029_primary_osteoporosis_diagnosis_treatment_guideline_2022.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/China_2022_primary_osteoporosis_diagnosis_treatment_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-035_adult_obesity_food_nutrition_guideline_2024.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/NHC_2024_adult_obesity_food_nutrition_guideline.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-007_EIM_Rx_exercising_with_high_blood_pressure.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/02_chronic_disease/EIM_Rx_exercising_with_high_blood_pressure.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-016_national_physical_fitness_measurement_standard_2023.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/03_fitness_assessment/China_2023_national_physical_fitness_measurement_standard.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-017_national_student_physical_health_standard_2014.docx,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/03_fitness_assessment/China_2014_national_student_physical_health_standard.docx,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-030_baduanjin_group_standard_draft.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/04_traditional_qigong/Baduanjin_2026_group_standard_draft.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-030_baduanjin_group_standard_explanation.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/04_traditional_qigong/Baduanjin_2026_group_standard_draft_explanation.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC2-036_fitness_qigong_exercise_prescription_development_guide.doc,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/04_traditional_qigong/Fitness_Qigong_exercise_prescription_development_guide.doc,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-001_ACSM_position_stands_resistance_training_slide_deck.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/05_supporting_evidence/ACSM_2026_resistance_training_position_stand_slide_deck.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-011_PARQPlus_2025_image.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/05_supporting_evidence/PARQPlus_2025_image_version.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/ACSMs Guidelines for Exercise Testing and Prescription Twelfth Edition.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/ACSM_2025_guidelines_for_exercise_testing_and_prescription_12th_edition_reference_only.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/ACSM运动测试与运动处方指南.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/ACSM_exercise_testing_and_prescription_guidelines_chinese_reference_only.pdf,mapped_useful
keep,"/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/ACSM运动医学检测与处方指南 第8版 (王正珍著, 美国运动医学学会(ACSM)著] , 王正珍主译, 王正珍 etc.).pdf",/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/ACSM_8th_exercise_testing_prescription_chinese_reference_only.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/ACSM体能训练概论=ACSM`S FOUNDATIONS OF STRENGTH TRAINING AND CONDITIONING.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/ACSM_foundations_of_strength_training_conditioning_reference_only.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/ACSM老年人科学运动健身 (Wojtek J.Chodzko-Zajko 王志强).pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/ACSM_exercise_for_older_adults_chinese_reference_only.pdf,mapped_useful
keep,"/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/ACSMs Resources for the Personal Trainer, Fifth Edition (ACSM).pdf",/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/ACSM_resources_for_personal_trainer_5th_reference_only.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/ACSMs HealthFitness Facility Standards and Guidelines (American College of Sports Medicine etc.).pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/ACSM_health_fitness_facility_standards_guidelines_reference_only.pdf,mapped_useful
keep,"/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/ACSMs Certification Review, Fifth Edition (ACSM).pdf",/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/ACSM_certification_review_5th_reference_only.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/370-acsms-complete-guide-to-fitness-health-2nd-edition.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/ACSM_complete_guide_to_fitness_health_2nd_reference_only.pdf,mapped_useful
keep,"/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/Physical Activity and Health The Evidence Explained (Adrianne E. Hardman, David J. Stensel).pdf",/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/80_reference_books_limited/Physical_activity_and_health_the_evidence_explained_reference_only.pdf,mapped_useful
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/_download_report_v0_2.md,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/_manifests/_download_report_v0_2.md,current_manifest
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/_download_report_v0_2.json,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/_manifests/_download_report_v0_2.json,current_manifest
